Models, ,Fake,  ,   ,True,    ,f₁ - Macros
 ,p,r,f₁,p,r,f₁,  
qwen2:7b,0.94±0.03,0.95±0.03,0.95±0.02,0.96±0.03,0.94±0.03,0.95±0.02,0.95±0.02
phi3:14b,0.93±0.05,0.97±0.03,0.95±0.03,0.97±0.03,0.92±0.06,0.94±0.03,0.95±0.03
llama3:8b,0.98±0.02,0.95±0.03,0.97±0.02,0.96±0.03,0.98±0.03,0.97±0.02,0.97±0.02
gemma:7b,0.92±0.04,0.94±0.03,0.93±0.03,0.94±0.03,0.92±0.04,0.93±0.03,0.93±0.03
phi3,0.93±0.04,0.95±0.03,0.94±0.03,0.95±0.03,0.92±0.04,0.94±0.03,0.94±0.03
mxbai-embed-large,0.94±0.03,0.94±0.04,0.93±0.02,0.94±0.03,0.93±0.04,0.94±0.02,0.94±0.02
all-minilm,0.95±0.02,0.93±0.06,0.94±0.04,0.94±0.05,0.95±0.02,0.94±0.03,0.94±0.03
snowflake-arctic-embed2,0.93±0.03,0.99±0.02,0.96±0.02,0.99±0.02,0.93±0.04,0.96±0.02,0.96±0.02
